MEM,func,throughput(insert),throughput(query),AAE,ARE
0.01,CC,14.7648,15.2423,10.4072,2.18105
0.01,CC2,10.872,12.6783,10.3978,2.0931
0.01,CC3,9.99251,19.2809,12.1718,1.33873
0.01,CC,7.94671,6.3117,10.4072,2.18105
0.01,CC2,10.8801,4.32719,10.3978,2.0931
0.01,CC3,8.34521,6.66452,12.1718,1.33873
0.01,CC,5.39776,15.7111,10.4072,2.18105
0.01,CC2,8.54722,12.3955,10.3978,2.0931
0.01,CC3,12.2121,15.604,12.1718,1.33873
0.01,CC,5.95348,7.80695,10.4072,2.18105
0.01,CC2,9.5336,6.1576,10.3978,2.0931
0.01,CC3,12.4893,7.49287,12.1718,1.33873
0.01,CC,16.3026,17.9193,10.4072,2.18105
0.01,CC2,11.6291,14.665,10.3978,2.0931
0.01,CC3,14.3978,17.5986,12.1718,1.33873
0.01,CC,11.0435,8.35538,10.4072,2.18105
0.01,CC2,11.0433,5.85518,10.3978,2.0931
0.01,CC3,12.0904,8.58049,12.1718,1.33873
0.01,CC,10.5727,8.34914,10.4072,2.18105
0.01,CC2,9.84695,5.19926,10.3978,2.0931
0.01,CC3,10.7748,8.36603,12.1718,1.33873
0.01,CC,8.61659,9.16982,10.4072,2.18105
0.01,CC2,9.3547,6.85146,10.3978,2.0931
0.01,CC3,7.99708,16.692,12.1718,1.33873
0.01,CC,9.33383,14.7119,10.4072,2.18105
0.01,CC2,12.355,12.1636,10.3978,2.0931
0.01,CC3,15.0399,10.9988,12.1718,1.33873
0.01,CC,16.7886,17.8116,10.4072,2.18105
0.01,CC2,15.8812,11.9728,10.3978,2.0931
0.01,CC3,13.4254,17.0804,12.1718,1.33873
0.01,CC,12.8437,8.77582,10.4072,2.18105
0.01,CC2,6.97975,6.73982,10.3978,2.0931
0.01,CC3,7.80128,14.322,12.1718,1.33873
0.01,CC,7.46657,9.56119,10.4072,2.18105
0.01,CC2,6.58057,6.48884,10.3978,2.0931
0.01,CC3,7.27028,7.96677,12.1718,1.33873
0.01,CC,6.60205,9.04361,10.4072,2.18105
0.01,CC2,6.41619,5.27039,10.3978,2.0931
0.01,CC3,6.37238,6.5728,12.1718,1.33873
0.01,CC,7.62868,8.28408,10.4072,2.18105
0.01,CC2,6.4805,5.26957,10.3978,2.0931
0.01,CC3,7.8625,6.9002,12.1718,1.33873
0.01,CC,6.1757,5.64364,10.4072,2.18105
0.01,CC2,5.80101,4.5891,10.3978,2.0931
0.01,CC3,6.65426,6.17024,12.1718,1.33873
0.01,CC,9.77254,4.58346,10.4072,2.18105
0.01,CC2,7.16576,5.91313,10.3978,2.0931
0.01,CC3,6.07941,19.2632,12.1718,1.33873
0.01,CC,8.10248,17.6968,10.4072,2.18105
0.01,CC2,13.8031,12.4292,10.3978,2.0931
0.01,CC3,16.1665,17.6329,12.1718,1.33873
0.01,CC,9.37587,12.4205,10.4072,2.18105
0.01,CC2,14.1526,11.9736,10.3978,2.0931
0.01,CC3,12.1539,16.3478,12.1718,1.33873
0.01,CC,6.86526,10.3814,10.4072,2.18105
0.01,CC2,7.49898,11.0505,10.3978,2.0931
