MEM,func,k,AAE,ARE,_sum,throughput(insert),throughput(query)
100,CuckooCounter,10,0,0,10/10,3.94878,16288,
100,CuckooCounter3,10,0,0,10/10,5.22184,392.02,
100,CuckooCounter31,10,0,0,10/10,6.29341,259.005,
100,CuckooCounter,1000,1.745,0.00614031,992/1000,5.25066,2695.8,
100,CuckooCounter3,1000,0.167,0.000813958,999/1000,7.37472,452.641,
100,CuckooCounter31,1000,0.167,0.000813958,999/1000,7.78502,432.379,
100,CuckooCounter,1000,1.745,0.00614031,992/1000,5.73173,3078.43,
100,CuckooCounter3,1000,0.167,0.000813958,999/1000,5.26171,534.298,
100,CuckooCounter31,1000,0.155,0.000771578,999/1000,7.82923,555.227,
200,CuckooCounter,1000,1.214,0.00394416,995/1000,6.46422,2265.13,
200,CuckooCounter3,1000,0.054,0.000262257,1000/1000,6.40366,213.898,
200,CuckooCounter31,1000,0.044,0.000214094,1000/1000,4.04876,185.188,
100,CuckooCounter,1000,0.534,0.00311841,997/1000,4.38618,2634.17,
100,CuckooCounter3,1000,0.166,0.000815923,999/1000,5.82548,382.351,
100,CuckooCounter31,1000,0.126,0.000615263,999/1000,5.4425,399.254,
100,CuckooCounter,1000,0.534,0.00311841,997/1000,4.02835,1898.83,
100,CuckooCounter3,1000,0.166,0.000815923,999/1000,4.25801,133.875,
100,CuckooCounter31,1000,0.126,0.000615263,999/1000,4.58729,255.353,
100,CuckooCounter,1000,1.745,0.00614031,992/1000,4.97294,2306.87,
100,CuckooCounter3,1000,0.167,0.000813958,999/1000,9.45618,503.317,
100,CuckooCounter31,1000,0.155,0.000771578,999/1000,5.94344,498.125,
100,CuckooCounter,1000,1.745,0.00614031,992/1000,5.46494,2126.86,
100,CuckooCounter3,1000,0.167,0.000813958,999/1000,7.63741,287.98,
100,CuckooCounter31,1000,0.155,0.000771578,999/1000,6.48751,192.251,
100,CuckooCounter,1000,1.745,0.00614031,992/1000,3.93123,4076.66,
100,CuckooCounter3,1000,0.167,0.000813958,999/1000,4.12477,517.615,
100,CuckooCounter31,1000,0.137,0.000679694,968/1000,4.41935,591.922,
200,CuckooCounter,1000,1.214,0.00394416,995/1000,4.47161,1552.43,
200,CuckooCounter3,1000,0.054,0.000262257,1000/1000,5.69938,39.8465,
200,CuckooCounter31,1000,0.04,0.000192451,996/1000,4.68079,59.8655,
100,CuckooCounter,1000,0.534,0.00311841,997/1000,8.02939,2914.2,
100,CuckooCounter3,1000,0.166,0.000815923,999/1000,10.9974,549.278,
100,CuckooCounter31,1000,0.247,0.00105719,974/1000,10.0627,572.05,
100,CuckooCounter,1000,0.534,0.00311841,997/1000,1.97767,2240.87,
100,CuckooCounter3,1000,0.166,0.000815923,999/1000,2.24302,295.243,
100,CuckooCounter31,1000,0.247,0.00105719,974/1000,4.30518,214.039,
100,CuckooCounter,1000,0.534,0.00311841,997/1000,2.14587,1165.45,
100,CuckooCounter3,1000,0.166,0.000815923,999/1000,2.62695,142.111,
100,CuckooCounter31,1000,0.247,0.00105719,974/1000,3.08745,85.8936,
100,CuckooCounter,1000,0.534,0.00311841,997/1000,1.44396,792.905,
100,CuckooCounter3,1000,0.166,0.000815923,999/1000,2.3835,66.542,
100,CuckooCounter31,1000,0.247,0.00105719,974/1000,2.58562,110.43,
100,CuckooCounter,1000,0.534,0.00311841,997/1000,1.65688,1083.5,
100,CuckooCounter3,1000,0.166,0.000815923,999/1000,3.7267,116.659,
100,CuckooCounter31,1000,0.247,0.00105719,974/1000,3.17771,174.192,
100,CuckooCounter,1000,0.534,0.00311841,997/1000,2.15457,896.989,
100,CuckooCounter3,1000,0.166,0.000815923,999/1000,2.58229,81.4483,
100,CuckooCounter31,1000,0.247,0.00105719,974/1000,2.03725,142.544,
100,CuckooCounter,1000,0.534,0.00311841,997/1000,1.41061,1121.54,
100,CuckooCounter3,1000,0.166,0.000815923,999/1000,2.26147,66.8005,
100,CuckooCounter31,1000,0.113,0.000556464,969/1000,2.22444,90.5466,
200,CuckooCounter,1000,0.212,0.00121138,998/1000,2.43091,673.373,
200,CuckooCounter3,1000,0.043,0.000219193,1000/1000,3.36067,41.3289,
200,CuckooCounter31,1000,0.043,0.000228596,998/1000,2.64371,47.4245,
100,CuckooCounter,1000,0.534,0.00311841,997/1000,2.5048,2018.14,
100,CuckooCounter3,1000,0.166,0.000815923,999/1000,3.37611,311.047,
100,CuckooCounter31,1000,0.223,0.00110404,999/1000,3.39829,259.172,
100,CuckooCounter,1000,1.745,0.00614031,992/1000,1.9265,1236.71,
100,CuckooCounter3,1000,0.167,0.000813958,999/1000,3.49105,271.055,
100,CuckooCounter31,1000,0.151,0.000747615,1000/1000,3.74773,268.605,
200,CuckooCounter,1000,1.214,0.00394416,995/1000,1.6219,486.844,
200,CuckooCounter3,1000,0.054,0.000262257,1000/1000,2.13262,58.8495,
200,CuckooCounter31,1000,0.044,0.00021607,1000/1000,1.72946,65.9812,
100,CuckooCounter,1000,0.534,0.00311841,997/1000,1.43774,1015.31,
100,CuckooCounter3,1000,0.166,0.000815923,999/1000,1.65988,167.357,
100,CuckooCounter31,1000,0.223,0.00110404,999/1000,2.11638,86.2944,
